date,campaign_id,channel,ad_spend,impressions,clicks,conversions,revenue,avg_order_value
2024-01-01,CMP-001,Google Search,1200,45000,2300,145,8200,56.55
2024-01-01,CMP-002,Facebook Ads,850,85000,3100,98,4100,41.83
2024-01-01,CMP-003,Instagram Reels,600,120000,4500,112,5200,46.42
2024-01-02,CMP-001,Google Search,1150,42000,2100,138,7900,57.24
2024-01-02,CMP-002,Facebook Ads,900,92000,3400,105,4400,41.90
2024-01-02,CMP-003,Instagram Reels,650,135000,4800,120,5600,46.67
2024-01-03,CMP-001,Google Search,1300,48000,2500,160,9100,56.88
2024-01-03,CMP-002,Facebook Ads,800,78000,2900,85,3800,44.71
2024-01-03,CMP-003,Instagram Reels,700,150000,5200,142,6500,45.77
2024-01-04,CMP-001,Google Search,1250,46000,2400,152,8600,56.58
2024-01-04,CMP-002,Facebook Ads,950,98000,3600,115,4800,41.74
2024-01-04,CMP-003,Instagram Reels,750,165000,5800,158,7200,45.57
2024-01-05,CMP-001,Google Search,1400,52000,2800,185,10500,56.76
2024-01-05,CMP-002,Facebook Ads,1000,105000,4000,130,5500,42.31
2024-01-05,CMP-003,Instagram Reels,800,180000,6500,182,8100,44.51
